Product,Region,Quarter,Marketing Spend,Sales,Customer Retention Rate,Churn Rate,Revenue
C,West,Q4,11546,32757,0.5354704584999639,0.17031228473212,33911.6
A,West,Q1,14561,39830,0.6983919136069442,0.13034726411795156,41286.1
C,West,Q3,6986,37429,0.5253842655196985,0.2480187271467031,38127.6
C,East,Q2,18822,26893,0.94330857447533,0.3464451793459697,28775.2
A,East,Q1,13338,38077,0.5138083859368523,0.17416830222659868,39410.8
A,East,Q1,16411,34373,0.7894324477537793,0.46832407592785363,36014.1
C,North,Q1,7911,34565,0.7192370615090435,0.019593163337823127,35356.1
B,West,Q3,6734,23436,0.8360130676475996,0.20897301585778938,24109.4
C,East,Q2,6843,28754,0.664076333737366,0.48379027576012373,29438.3
C,East,Q1,13680,30677,0.5775208083638721,0.27398594162404366,32045.0
C,North,Q4,7976,25895,0.9909204441552655,0.21173547115405927,26692.6
C,East,Q1,6959,39738,0.9194667510346817,0.28426014187497917,40433.9
A,North,Q1,10759,36609,0.9302023091558376,0.2879622876290423,37684.9
C,South,Q3,11694,35636,0.625125680257932,0.3658238776498201,36805.4
B,East,Q3,7385,41277,0.5194173672147115,0.0638448647112328,42015.5
A,South,Q2,16111,27022,0.6516327573366114,0.12500822460805233,28633.1
B,North,Q4,9736,29151,0.7685412135983277,0.2902720061719549,30124.6
B,West,Q3,6802,25600,0.6633256208980205,0.43355830360486103,26280.2
B,East,Q1,13155,49124,0.9139345018937943,0.2809333460718868,50439.5
B,North,Q2,13120,47643,0.635771457909871,0.11929842989517009,48955.0
A,West,Q1,11616,27996,0.9826259151953849,0.3399223899501229,29157.6
A,West,Q1,19257,29007,0.7286325808068643,0.36995438022368726,30932.7
B,South,Q3,19486,32946,0.9210115375059906,0.11911807620198972,34894.6
B,North,Q2,10534,44067,0.5971900169974365,0.18886444308814743,45120.4
A,West,Q4,9061,24642,0.7056769525283393,0.2671637367652817,25548.1
A,East,Q4,16561,49887,0.8497561053835969,0.24828059534153885,51543.1
A,East,Q3,18922,31312,0.5691765462089007,0.19480904310960173,33204.2
C,South,Q3,5262,27679,0.5663727111214849,0.14881758725465544,28205.2
C,West,Q2,19075,28208,0.9847684335570794,0.04999244358093169,30115.5
C,North,Q4,11287,43723,0.857297552089976,0.026742648373684452,44851.7
B,East,Q4,19681,45819,0.5205337583839379,0.47927074844159917,47787.1
C,West,Q4,13815,38589,0.6994104507223973,0.4235715720477949,39970.5
B,West,Q1,14208,30716,0.716760368790371,0.1774525952313603,32136.8
B,South,Q4,16835,37453,0.8720213214995577,0.47840044256322817,39136.5
C,East,Q1,18168,23444,0.6254302636733307,0.33838495221215165,25260.8
B,East,Q2,7049,30757,0.592166837165685,0.24126047482132124,31461.9
C,North,Q1,10423,34434,0.5404364833085988,0.24651282888590248,35476.3
C,East,Q2,19589,21060,0.7141572374700539,0.04164220559762982,23018.9
A,North,Q4,16915,38711,0.8442499503826832,0.04585207362924054,40402.5
C,East,Q4,9548,23420,0.5290967977542218,0.3012204629505595,24374.8
A,South,Q2,8108,20301,0.9576068638132402,0.2768515261729004,21111.8
C,East,Q3,18471,32468,0.7211761148655522,0.10636394751211448,34315.1
C,North,Q2,17282,36990,0.6198936795787016,0.4730972714408451,38718.2
A,North,Q3,12158,39554,0.5469366450406459,0.39064802523560127,40769.8
A,South,Q1,15248,20699,0.5914329985536537,0.056732301008724006,22223.8
C,East,Q1,12400,41472,0.9673069986698548,0.4654645528436463,42712.0
B,East,Q1,8170,45715,0.8191352969216752,0.4871241042672051,46532.0
A,South,Q4,14874,20190,0.7583481287132834,0.49796562101516456,21677.4
B,East,Q1,7255,30492,0.8285556642500834,0.02793557733867502,31217.5
B,East,Q3,6154,37364,0.7178364493389455,0.3685177783955044,37979.4
B,North,Q1,9499,22975,0.8650196582809093,0.27295788508249447,23924.9
A,East,Q2,11295,26102,0.5238580638458243,0.35291574193934727,27231.5
B,East,Q2,11197,37568,0.7830186052470381,0.48432597198706745,38687.7
A,South,Q4,16383,39711,0.5793232238212456,0.34401500508751953,41349.3
B,South,Q2,14888,39778,0.5600823239028211,0.4184819371186869,41266.8
C,West,Q3,17183,44703,0.6709398333582008,0.4334343526554207,46421.3
C,North,Q1,17915,46641,0.5458995329067209,0.41924038188199253,48432.5
A,East,Q4,17874,21816,0.5470784941342801,0.21304573752347056,23603.4
C,East,Q1,6648,42238,0.6557066546956472,0.11128820878551526,42902.8
C,West,Q1,10539,43093,0.9897552643107543,0.19832580097712593,44146.9
B,East,Q3,14637,20569,0.5876651349446693,0.4459484543883883,22032.7
A,North,Q2,9199,25442,0.5085805509158752,0.07330241084601274,26361.9
B,West,Q2,17115,21895,0.8816822115019555,0.25666308434619645,23606.5
B,North,Q1,13445,39117,0.9034564885253897,0.1166140362122639,40461.5
B,West,Q4,16375,23863,0.6731521605447004,0.29065270861339115,25500.5
B,West,Q2,7557,32913,0.7323369064698058,0.43156926099450194,33668.7
B,South,Q4,10592,27455,0.8248868413213817,0.4401799843192084,28514.2
B,North,Q2,5098,24014,0.5240294620985169,0.11834259684103937,24523.8
B,East,Q4,7200,31093,0.9745728657956929,0.45384685317427315,31813.0
A,East,Q3,19172,38070,0.9433401936490238,0.29594436941064217,39987.2
C,North,Q4,7961,23009,0.630446811670857,0.17510912335015677,23805.1
B,East,Q3,19207,44190,0.5076522701451924,0.3540905977915999,46110.7
B,East,Q3,9973,36538,0.9667181540397415,0.24083349398205767,37535.3
B,North,Q4,9433,30729,0.7505199419576296,0.18899379506112723,31672.3
B,West,Q3,16969,21409,0.7696887242000312,0.35254218214832994,23105.9
B,North,Q1,7869,32249,0.8419818846990705,0.12436207721514397,33035.9
B,West,Q3,16426,20784,0.8079255821949569,0.16512626450954926,22426.6
C,East,Q2,16983,47751,0.9719458022803786,0.21722592224413567,49449.3
C,East,Q4,5956,28096,0.9721257985625837,0.12684108693656937,28691.6
B,East,Q1,18992,27560,0.9335994667775018,0.20260104339070856,29459.2
C,South,Q4,17259,32533,0.8182017987230057,0.2857365126025053,34258.9
A,West,Q2,13352,27343,0.9004746473411999,0.37048693045533415,28678.2
B,South,Q2,10699,27206,0.8385841711914909,0.38359742655428586,28275.9
A,South,Q2,11944,41980,0.7866835208359666,0.41139517593834657,43174.4
A,North,Q3,9493,25801,0.5642501766169551,0.37210582847164897,26750.3
B,South,Q3,14492,39190,0.9056020883680015,0.3405197135484545,40639.2
C,North,Q4,9911,36921,0.9103197378719776,0.11875323564623497,37912.1
A,North,Q4,8987,25986,0.8129698350507863,0.20011144643601242,26884.7
B,South,Q1,14719,38225,0.910213421885634,0.23885744544011384,39696.9
A,West,Q1,11015,49592,0.8257423859288939,0.04144566084667711,50693.5
A,West,Q4,18703,30647,0.6033421799383727,0.2641850606486046,32517.3
A,West,Q3,18446,28716,0.6369805636605669,0.218167915803278,30560.6
A,West,Q2,6218,43355,0.607294559854187,0.40105462451336704,43976.8
C,West,Q4,9496,42009,0.6886295416139879,0.4889503343771354,42958.6
A,South,Q1,9735,39334,0.5194815661551169,0.2780025193212923,40307.5
A,South,Q3,16296,44376,0.8091269421689464,0.16134319413879183,46005.6
A,East,Q4,15927,32323,0.6682771074443632,0.02170039164908638,33915.7
C,West,Q4,9555,24780,0.8278613176903711,0.462321665111798,25735.5
A,South,Q3,14146,48691,0.6926983104827825,0.4595578576393297,50105.6
A,East,Q4,13050,22368,0.8408068344863948,0.12649508399462056,23673.0
